uri,Glossary Term,definition,type,label,alternative label,tag,description,definition extension,editorial note,document link,seeAlso,broader term,narrower term,related term,has exact match,has close match,has broader match,has related match
http://nwcg.gov/glos/nwcg_terms/nwcg-abortArea,abort area,"A designated area where unused quantities of water or fire retardant may be jettisoned, usually to permit an airtanker to land with less than a full load.",Glossary Term,abort area,,,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-AboveGroundLevel,Above Ground Level,"Term frequently used in aviation operations, usually in connection with a stated altitude.",Glossary Term,Above Ground Level,,,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-absoluteHumidity,absolute humidity,"According to the American Meteorological Society, (also called vapor density).&nbsp; In a system of moist air, the ratio of the mass of water vapor present to the volume occupied by the mixture; that is, the density of the water vapor component.",Glossary Term,absolute humidity,vapor density,,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-containmentHazardousMaterials,containment (hazardous materials),The act of controlling hazardous spilled or leaking materials.,Business Term,containment (hazardous materials),,Fuels,,,,,,,,contained,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-contained,contained,"The status of a wildfire suppression action signifying that a control line has been completed around the fire, and any associated spot fires, which can reasonably be expected to stop the fire's spread.",Business Term,contained,,Incident,,,JK-checked.&nbsp; Related terms exceed those listed in NWCG.&nbsp;&nbsp;,,,,,"containment (wildfire), containment (hazardous materials), point/zone protection, confine",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-pointZoneProtection,point/zone protection,A wildfire response strategy which protects specific assets or highly valued resources from the wildfire without directly halting the continued spread of the wildfire.,Business Term,point/zone protection,,"Fuels, Incident, Resources",,"<ol lang="""">
<li>Points or zones being protected may be communities, individual structures, areas of high resource value, etc.</li>
<li>Continued wildfire spread may be desirable in order to achieve management objectives or may be inevitable due to extreme burning conditions, safety concerns, or other limitations.</li>
</ol>",gb,,,,,"contained, monitoring, confine, suppression",,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-activeCrownFire,active crown fire,"A fire in which a solid flame develops in the crowns of trees, but the surface and crown phases advance as a linked unit dependent on each other.",Business Term,active crown fire,,"Incident, Fire Environment",,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-buildUpFireSpread,build-up (fire spread),The accelerated spreading of a fire with time.,Business Term,build-up (fire spread),,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-buildUpFireDanger,build-up (fire danger),The cumulative effects of long-term drying on current fire danger.,Business Term,build-up (fire danger),,Fire Environment,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-bubble,bubble,The building block of foam; bubble characteristics of water content and durability influence foam performance.,Business Term,bubble,,Resources,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-brushPatrolUnit,brush patrol unit,"Any light, mobile vehicular unit with limited pumping and water capacity for off-road operations.",Business Term,brush patrol unit,,Resources,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-brownAndBurn,brown and burn,Application of herbicide to desiccate living vegetation prior to burning.,Business Term,brown and burn,,Fuels,,,,,,,,,,,,
http://nwcg.gov/glos/nwcg_terms/nwcg-breakLeftOrRight,break left or right,"Means ""turn"" left or right. Applies to aircraft in flight, usually on the drop run, and when given as a command to the pilot, implies expectation of prompt compliance.",Business Term,break left or right,,Resources,,,,,,,,,,,,
